Year,A,B,C
2000,0.026827646950155607,0.01,0.4831723530498444
2004,0.026827646950155607,0.01,0.4831723530498444
2008,0.026827646950155607,0.01,0.4831723530498444
2012,0.026827646950155607,0.01,0.4831723530498444
2016,0.026827646950155607,0.01,0.4831723530498444
2020,0.026827646950155607,0.01,0.4831723530498444
