QuestionID,RespTxt,RespPct,QuestionTxt,QuestionNote,SubPopulation,ReleaseDate,SurveyOrg,SurveySponsor,SourceDoc,BegDate,EndDate,ExactDates,SampleDesc,SampleSize,VariableName,IntMethod,StudyNote
USGALLUP.53-524.QK25C,Favorable,68,"In general, do you have a favorable or unfavorable opinion of the Ford Foundation?",,Asked of those who heard/read about Ford Foundation (37%),12/1/1953,Gallup Organization,,Gallup Poll (AIPO),12/11/1953,12/16/1953,Y,National Adult,1483,,Face-to-face interview,Sample size is approximate.
USGALLUP.53-524.QK25C,Unfavorable,2,"In general, do you have a favorable or unfavorable opinion of the Ford Foundation?",,Asked of those who heard/read about Ford Foundation (37%),12/1/1953,Gallup Organization,,Gallup Poll (AIPO),12/11/1953,12/16/1953,Y,National Adult,1483,,Face-to-face interview,Sample size is approximate.
USGALLUP.53-524.QK25C,No opinion,29,"In general, do you have a favorable or unfavorable opinion of the Ford Foundation?",,Asked of those who heard/read about Ford Foundation (37%),12/1/1953,Gallup Organization,,Gallup Poll (AIPO),12/11/1953,12/16/1953,Y,National Adult,1483,,Face-to-face interview,Sample size is approximate.
