DATE,A229RX0Q048SBEA
2013-04-01,40837.0
2013-07-01,40894.0
2013-10-01,40864.0
2014-01-01,41266.0
2014-04-01,41708.0
2014-07-01,42010.0
2014-10-01,42517.0
2015-01-01,43027.0
2015-04-01,43080.0
2015-07-01,43228.0
2015-10-01,43381.0
2016-01-01,43655.0
2016-04-01,43490.0
2016-07-01,43647.0
2016-10-01,43845.0
2017-01-01,44233.0
2017-04-01,44647.0
2017-07-01,44878.0
2017-10-01,45080.0
2018-01-01,45498.0
2018-04-01,45846.0
2018-07-01,46257.0
2018-10-01,46629.0
2019-01-01,47114.0
2019-04-01,47026.0
2019-07-01,47281.0
2019-10-01,47484.0
2020-01-01,47722.0
2020-04-01,52408.0
2020-07-01,50544.0
2020-10-01,49525.0
2021-01-01,55364.0
2021-04-01,51047.0
2021-07-01,50317.0
2021-10-01,49544.0
2022-01-01,48250.0
2022-04-01,48031.0
2022-07-01,48393.0
2022-10-01,48592.0
2023-01-01,49807.0
2023-04-01,50151.0
2023-07-01,50143.0
2023-10-01,50179.0
2024-01-01,50287.0
