QuestionID,RespTxt,RespPct,QuestionTxt,QuestionNote,SubPopulation,ReleaseDate,SurveyOrg,SurveySponsor,SourceDoc,BegDate,EndDate,ExactDates,SampleDesc,SampleSize,VariableName,IntMethod,StudyNote
USCBSNYT.080980.R04H,Favor,33,"(I'm going to name some people and ask what you think of them. If you haven't heard much about someone I name, just tell me.) Do you have a favorable or not favorable opinion about...Jimmy Carter..., or don't you know enough about him to have an opinion?",,,08/9/1980,CBS News; New York Times,,CBS News/New York Times Poll,08/2/1980,08/7/1980,Y,National Adult,1769,,Telephone Interview,
USCBSNYT.080980.R04H,Not favor,56,"(I'm going to name some people and ask what you think of them. If you haven't heard much about someone I name, just tell me.) Do you have a favorable or not favorable opinion about...Jimmy Carter..., or don't you know enough about him to have an opinion?",,,08/9/1980,CBS News; New York Times,,CBS News/New York Times Poll,08/2/1980,08/7/1980,Y,National Adult,1769,,Telephone Interview,
USCBSNYT.080980.R04H,Don't know enough,4,"(I'm going to name some people and ask what you think of them. If you haven't heard much about someone I name, just tell me.) Do you have a favorable or not favorable opinion about...Jimmy Carter..., or don't you know enough about him to have an opinion?",,,08/9/1980,CBS News; New York Times,,CBS News/New York Times Poll,08/2/1980,08/7/1980,Y,National Adult,1769,,Telephone Interview,
USCBSNYT.080980.R04H,Undecided/No answer,7,"(I'm going to name some people and ask what you think of them. If you haven't heard much about someone I name, just tell me.) Do you have a favorable or not favorable opinion about...Jimmy Carter..., or don't you know enough about him to have an opinion?",,,08/9/1980,CBS News; New York Times,,CBS News/New York Times Poll,08/2/1980,08/7/1980,Y,National Adult,1769,,Telephone Interview,
